lang,id,age,onset,offset,length,is_child,is_not_child,res
tsimane,C25,08,15808.18,15808.78,0.6000000000003638,0.0,3.0,27
tsimane,c15,16,23266.07,23266.82,0.75,0.0,3.0,27
english,23,15,43037.89,43038.49,0.5999999999985448,2.0,1.0,31
tsimane,c22,15,165.14,165.79,0.6500000000000057,2.0,1.0,31
tsimane,c15,16,19511.04,19512.05,1.0099999999983993,1.0,2.0,29
english,15,16,44134.84,44136.41,1.570000000006985,2.0,1.0,31
tsimane,c22,15,53849.99,53852.78,2.790000000000873,1.0,2.0,29
english,04,08,1569.85,1570.45,0.6000000000001364,1.0,2.0,29
tsimane,c22,15,1007.97,1009.79,1.8199999999999363,1.0,2.0,29
english,15,16,33807.4,33808.01,0.6100000000005821,1.0,2.0,29
tsimane,c15,16,26799.41,26800.01,0.5999999999985448,3.0,0.0,33
tsimane,C25,08,9868.2,9868.8,0.5999999999985448,2.0,1.0,31
tsimane,c15,16,12414.72,12415.74,1.0200000000004366,3.0,0.0,33
english,04,08,39558.41,39560.88,2.469999999993888,3.0,0.0,33
english,23,15,1408.71,1410.52,1.8099999999999454,2.0,1.0,31
tsimane,c15,16,850.75,852.19,1.4400000000000546,3.0,0.0,33
english,23,15,45527.35,45528.58,1.2300000000032014,1.0,2.0,29
english,15,16,39680.37,39680.97,0.5999999999985448,1.0,2.0,29
tsimane,C25,08,25196.57,25197.77,1.2000000000007276,3.0,0.0,33
tsimane,c22,15,52491.28,52491.88,0.5999999999985448,0.0,3.0,27
english,04,08,438.78,439.38,0.6000000000000227,1.0,2.0,29
tsimane,c15,16,30389.95,30390.83,0.8800000000010186,2.0,1.0,31
english,04,08,48122.25,48123.07,0.819999999999709,3.0,0.0,33
english,23,15,97.87,99.6,1.7299999999999898,3.0,0.0,33
tsimane,C25,08,23645.27,23645.96,0.6899999999986903,3.0,0.0,33
english,23,15,20354.77,20355.89,1.1199999999989814,3.0,0.0,33
tsimane,c22,15,50027.46,50028.25,0.7900000000008731,1.0,2.0,29
tsimane,c22,15,3453.61,3455.96,2.349999999999909,1.0,2.0,29
tsimane,c22,15,47777.42,47779.3,1.8800000000046566,1.0,2.0,29
tsimane,C25,08,21951.78,21952.38,0.6000000000021828,3.0,0.0,33
tsimane,c15,16,9166.36,9168.34,1.9799999999995634,3.0,0.0,33
tsimane,c22,15,49907.13,49907.73,0.6000000000058208,0.0,3.0,27
english,04,08,46677.64,46679.25,1.610000000000582,0.0,3.0,27
english,04,08,25054.65,25055.5,0.8499999999985448,2.0,1.0,31
english,23,15,56446.52,56449.9,3.3800000000046566,3.0,0.0,33
english,15,16,40117.73,40118.55,0.819999999999709,2.0,1.0,31
english,15,16,1254.85,1256.05,1.2000000000000455,3.0,0.0,33
english,23,15,14111.86,14112.63,0.7699999999986176,3.0,0.0,33
english,15,16,46183.66,46184.46,0.7999999999956344,2.0,1.0,31
english,15,16,18587.88,18589.6,1.7199999999975262,3.0,0.0,33
english,15,16,19167.22,19168.1,0.8799999999973807,3.0,0.0,33
english,04,08,19503.74,19505.56,1.819999999999709,1.0,2.0,29
english,04,08,46531.68,46532.28,0.5999999999985448,3.0,0.0,33
tsimane,c15,16,23051.4,23052.13,0.7299999999995634,3.0,0.0,33
tsimane,c15,16,25836.61,25837.21,0.5999999999985448,2.0,1.0,31
tsimane,c15,16,31601.92,31602.76,0.8400000000001455,3.0,0.0,33
tsimane,c15,16,30789.09,30789.69,0.5999999999985448,0.0,3.0,27
english,15,16,32259.14,32259.76,0.6199999999989814,3.0,0.0,33
tsimane,c15,16,34813.45,34814.26,0.8100000000049477,3.0,0.0,33
english,15,16,46996.01,46996.66,0.6500000000014552,3.0,0.0,33
tsimane,c15,16,11909.96,11911.64,1.680000000000291,2.0,1.0,31
english,15,16,6638.65,6639.65,1.0,0.0,3.0,27
english,23,15,39435.36,39435.96,0.5999999999985448,1.0,2.0,29
english,23,15,3763.15,3763.75,0.599999999999909,3.0,0.0,33
english,23,15,46975.64,46976.88,1.2399999999979627,2.0,1.0,31
english,23,15,35493.37,35494.17,0.7999999999956344,1.0,2.0,29
english,23,15,4460.71,4463.27,2.5600000000004,3.0,0.0,33
tsimane,c22,15,1243.8,1244.4,0.6000000000001364,3.0,0.0,33
tsimane,c15,16,33962.52,33963.24,0.7200000000011642,3.0,0.0,33
english,23,15,38112.04,38113.29,1.25,3.0,0.0,33
tsimane,c22,15,53684.65,53685.54,0.8899999999994179,2.0,1.0,31
tsimane,c15,16,30256.32,30259.12,2.7999999999992724,3.0,0.0,33
english,04,08,2711.32,2712.71,1.3899999999998727,0.0,3.0,27
tsimane,C25,08,26893.67,26895.56,1.890000000003056,1.0,2.0,29
tsimane,c15,16,31631.21,31632.79,1.5800000000017462,2.0,1.0,31
tsimane,C25,08,44681.04,44684.58,3.540000000000873,3.0,0.0,33
english,15,16,4421.52,4422.17,0.6499999999996362,3.0,0.0,33
english,23,15,26303.74,26304.34,0.5999999999985448,3.0,0.0,33
english,04,08,8092.67,8095.53,2.8599999999996726,3.0,0.0,33
tsimane,c22,15,52434.19,52434.87,0.680000000000291,3.0,0.0,33
english,04,08,44214.3,44214.9,0.5999999999985448,3.0,0.0,33
tsimane,C25,08,25123.76,25124.36,0.6000000000021828,2.0,1.0,31
english,23,15,45895.54,45896.37,0.8300000000017462,3.0,0.0,33
tsimane,c22,15,51752.19,51752.82,0.6299999999973807,0.0,3.0,27
english,23,15,35911.32,35912.79,1.4700000000011642,3.0,0.0,33
english,15,16,11866.89,11867.69,0.8000000000010914,2.0,1.0,31
tsimane,c15,16,18077.33,18080.35,3.0199999999967986,2.0,1.0,31
tsimane,c15,16,2746.7,2747.31,0.6100000000001273,2.0,1.0,31
english,23,15,8388.14,8388.87,0.7300000000013824,3.0,0.0,33
english,15,16,127.49,130.23,2.739999999999995,3.0,0.0,33
tsimane,C25,08,17702.11,17702.71,0.5999999999985448,3.0,0.0,33
english,15,16,44108.13,44108.73,0.6000000000058208,1.0,2.0,29
english,15,16,34239.25,34240.05,0.8000000000029104,3.0,0.0,33
tsimane,c22,15,53966.69,53967.43,0.7399999999979627,3.0,0.0,33
english,04,08,3149.9,3152.32,2.4200000000000728,3.0,0.0,33
tsimane,C25,08,17283.85,17285.37,1.5200000000004366,3.0,0.0,33
english,15,16,36834.19,36835.43,1.2399999999979627,3.0,0.0,33
english,04,08,29605.32,29605.92,0.5999999999985448,3.0,0.0,33
english,15,16,106.77,107.38,0.6099999999999994,2.0,1.0,31
english,04,08,8052.74,8053.54,0.8000000000001819,1.0,2.0,29
tsimane,C25,08,24201.67,24202.27,0.6000000000021828,0.0,3.0,27
english,04,08,30342.57,30343.17,0.5999999999985448,2.0,1.0,31
english,15,16,42609.92,42610.57,0.6500000000014552,3.0,0.0,33
tsimane,C25,08,7254.72,7255.52,0.8000000000001819,2.0,1.0,31
english,15,16,37618.82,37619.56,0.7399999999979627,3.0,0.0,33
tsimane,c15,16,2909.68,2910.35,0.6700000000000728,0.0,3.0,27
english,04,08,15744.39,15746.84,2.4500000000007276,2.0,1.0,31
english,15,16,2900.59,2901.19,0.599999999999909,1.0,2.0,29
tsimane,c15,16,35313.02,35313.96,0.9400000000023283,3.0,0.0,33
english,23,15,2934.7,2935.54,0.8400000000001455,3.0,0.0,33
english,15,16,40657.16,40657.91,0.75,3.0,0.0,33
english,15,16,10127.65,10128.27,0.6200000000008004,3.0,0.0,33
tsimane,C25,08,292.09,292.69,0.6000000000000227,0.0,3.0,27
tsimane,c22,15,55970.46,55971.48,1.0200000000040745,2.0,1.0,31
tsimane,c22,15,44703.12,44704.12,1.0,1.0,2.0,29
tsimane,c15,16,31466.25,31467.33,1.0800000000017462,3.0,0.0,33
english,04,08,3232.67,3233.97,1.2999999999997272,3.0,0.0,33
tsimane,c22,15,54029.44,54030.2,0.7599999999947613,1.0,2.0,29
english,04,08,42056.07,42056.67,0.5999999999985448,3.0,0.0,33
english,15,16,4967.16,4967.76,0.6000000000003638,3.0,0.0,33
tsimane,c22,15,47874.39,47874.99,0.5999999999985448,2.0,1.0,31
tsimane,c15,16,30374.36,30375.08,0.7200000000011642,1.0,2.0,29
tsimane,c15,16,6789.15,6790.19,1.0399999999999636,1.0,2.0,29
tsimane,c15,16,25200.09,25200.96,0.8699999999989814,3.0,0.0,33
english,15,16,1971.41,1972.01,0.599999999999909,2.0,1.0,31
tsimane,C25,08,28886.52,28887.45,0.930000000000291,3.0,0.0,33
tsimane,C25,08,24568.4,24569.15,0.75,3.0,0.0,33
tsimane,c22,15,48840.85,48841.94,1.0900000000037835,3.0,0.0,33
english,04,08,28580.57,28586.46,5.889999999999418,2.0,1.0,31
english,23,15,17666.22,17667.02,0.7999999999992724,3.0,0.0,33
tsimane,c22,15,178.91,179.51,0.5999999999999943,2.0,1.0,31
english,23,15,26189.87,26190.5,0.6300000000010186,2.0,1.0,31
tsimane,c22,15,53774.24,53776.01,1.7700000000040745,0.0,3.0,27
tsimane,C25,08,15742.18,15743.58,1.3999999999996362,0.0,3.0,27
tsimane,c15,16,34012.91,34013.55,0.6399999999994179,2.0,1.0,31
tsimane,c22,15,53717.1,53717.87,0.7700000000040745,1.0,2.0,29
tsimane,c22,15,50965.08,50965.68,0.5999999999985448,1.0,2.0,29
tsimane,c22,15,51468.57,51469.22,0.6500000000014552,1.0,2.0,29
english,04,08,34708.99,34709.92,0.930000000000291,3.0,0.0,33
english,04,08,31629.5,31630.1,0.5999999999985448,1.0,2.0,29
tsimane,C25,08,15199.35,15201.15,1.7999999999992724,3.0,0.0,33
english,04,08,28912.03,28912.63,0.6000000000021828,2.0,1.0,31
tsimane,c15,16,34184.64,34185.41,0.7700000000040745,2.0,1.0,31
english,23,15,16981.07,16981.96,0.8899999999994179,3.0,0.0,33
english,23,15,46059.61,46060.39,0.7799999999988358,3.0,0.0,33
tsimane,c22,15,50021.84,50024.18,2.3400000000037835,3.0,0.0,33
tsimane,c15,16,34438.18,34438.78,0.5999999999985448,1.0,2.0,29
tsimane,c22,15,48743.8,48744.8,1.0,2.0,1.0,31
english,04,08,34715.22,34716.99,1.7699999999967986,3.0,0.0,33
english,23,15,9225.06,9227.45,2.390000000001237,3.0,0.0,33
tsimane,c22,15,57038.4,57039.46,1.0599999999976717,3.0,0.0,33
tsimane,c22,15,1673.6,1674.21,0.6100000000001273,2.0,1.0,31
english,15,16,166.31,166.95,0.6399999999999864,1.0,2.0,29
english,04,08,8301.63,8303.81,2.180000000000291,3.0,0.0,33
tsimane,c15,16,25799.39,25800.37,0.9799999999995634,0.0,3.0,27
tsimane,c22,15,50771.09,50771.69,0.6000000000058208,2.0,1.0,31
tsimane,c15,16,20595.86,20596.68,0.819999999999709,2.0,1.0,31
english,15,16,3931.25,3931.88,0.6300000000001091,1.0,2.0,29
tsimane,C25,08,22566.18,22566.78,0.5999999999985448,3.0,0.0,33
english,04,08,44028.83,44029.58,0.75,3.0,0.0,33
english,04,08,14922.95,14924.15,1.1999999999989086,2.0,1.0,31
english,04,08,33781.95,33784.47,2.5200000000040745,3.0,0.0,33
english,15,16,41995.85,41996.54,0.6900000000023283,0.0,3.0,27
english,04,08,26139.71,26140.46,0.75,1.0,2.0,29
tsimane,c22,15,56506.93,56507.53,0.5999999999985448,3.0,0.0,33
tsimane,C25,08,19170.84,19171.44,0.5999999999985448,3.0,0.0,33
english,04,08,46717.48,46718.3,0.819999999999709,1.0,2.0,29
english,23,15,28439.98,28442.26,2.279999999998836,3.0,0.0,33
english,15,16,14038.19,14040.22,2.029999999998836,3.0,0.0,33
english,23,15,18579.28,18580.28,1.0,3.0,0.0,33
tsimane,c22,15,53915.13,53916.23,1.1000000000058208,1.0,2.0,29
tsimane,c22,15,52534.88,52535.57,0.6900000000023283,3.0,0.0,33
tsimane,c22,15,50589.71,50590.87,1.1600000000034925,1.0,2.0,29
english,04,08,2341.85,2342.57,0.7200000000002547,3.0,0.0,33
tsimane,c22,15,50756.54,50757.19,0.6500000000014552,3.0,0.0,33
english,15,16,41412.71,41413.79,1.0800000000017462,0.0,3.0,27
tsimane,c15,16,22194.39,22194.99,0.6000000000021828,0.0,3.0,27
english,04,08,17126.79,17127.4,0.6100000000005821,3.0,0.0,33
english,23,15,14823.86,14826.33,2.469999999999345,3.0,0.0,33
tsimane,C25,08,27075.4,27076.39,0.9899999999979627,3.0,0.0,33
tsimane,c22,15,45235.96,45236.97,1.0100000000020373,2.0,1.0,31
tsimane,C25,08,22588.14,22590.69,2.5499999999992724,3.0,0.0,33
tsimane,C25,08,49578.13,49578.73,0.6000000000058208,3.0,0.0,33
english,15,16,15180.9,15181.5,0.6000000000003638,3.0,0.0,33
tsimane,c22,15,57317.51,57318.13,0.6199999999953434,1.0,2.0,29
tsimane,C25,08,3099.8,3100.4,0.599999999999909,3.0,0.0,33
english,04,08,8770.58,8771.18,0.6000000000003638,1.0,2.0,29
tsimane,c22,15,51365.83,51366.62,0.7900000000008731,3.0,0.0,33
english,23,15,13383.51,13384.22,0.7099999999991269,3.0,0.0,33
english,15,16,6695.98,6696.64,0.660000000000764,0.0,3.0,27
tsimane,C25,08,7233.53,7235.35,1.8200000000006185,3.0,0.0,33
tsimane,c22,15,50517.37,50518.53,1.1599999999962165,2.0,1.0,31
tsimane,C25,08,49462.17,49463.74,1.569999999999709,3.0,0.0,33
tsimane,c22,15,53798.96,53799.64,0.680000000000291,3.0,0.0,33
tsimane,c15,16,1812.95,1813.75,0.7999999999999545,3.0,0.0,33
english,04,08,29008.08,29009.98,1.8999999999978172,3.0,0.0,33
english,23,15,44764.18,44764.97,0.7900000000008731,1.0,2.0,29
tsimane,C25,08,24848.09,24848.69,0.5999999999985448,3.0,0.0,33
english,23,15,36912.04,36912.64,0.5999999999985448,3.0,0.0,33
tsimane,c22,15,52963.94,52964.57,0.6299999999973807,1.0,2.0,29
tsimane,C25,08,32777.34,32778.53,1.1900000000023283,3.0,0.0,33
tsimane,c15,16,5878.46,5880.62,2.1599999999998545,3.0,0.0,33
tsimane,C25,08,4285.87,4286.49,0.6199999999998909,3.0,0.0,33
english,23,15,56246.98,56247.86,0.8799999999973807,3.0,0.0,33
tsimane,c22,15,53523.44,53524.74,1.2999999999956344,2.0,1.0,31
english,23,15,46592.82,46596.66,3.8400000000037835,3.0,0.0,33
tsimane,c22,15,48883.01,48884.97,1.9599999999991269,1.0,2.0,29
tsimane,c22,15,47416.93,47417.67,0.7399999999979627,3.0,0.0,33
english,23,15,44484.17,44485.38,1.2099999999991269,2.0,1.0,31
tsimane,c22,15,50637.54,50638.56,1.0199999999967986,3.0,0.0,33
tsimane,c15,16,20633.6,20634.28,0.680000000000291,2.0,1.0,31
english,15,16,10889.97,10891.24,1.2700000000004366,3.0,0.0,33
english,15,16,37336.88,37337.56,0.680000000000291,3.0,0.0,33
english,04,08,43846.98,43847.58,0.5999999999985448,3.0,0.0,33
english,15,16,42060.03,42061.79,1.7600000000020373,3.0,0.0,33
english,23,15,36796.23,36798.21,1.9799999999959255,3.0,0.0,33
english,04,08,18122.39,18123.23,0.8400000000001455,3.0,0.0,33
tsimane,C25,08,56097.47,56098.73,1.2600000000020373,3.0,0.0,33
tsimane,C25,08,674.24,675.24,1.0,3.0,0.0,33
english,15,16,9638.32,9639.63,1.3099999999994907,3.0,0.0,33
english,15,16,8888.42,8889.6,1.180000000000291,3.0,0.0,33
tsimane,c15,16,9094.22,9094.82,0.6000000000003638,3.0,0.0,33
english,04,08,28302.19,28306.57,4.380000000001019,3.0,0.0,33
tsimane,c22,15,57086.56,57088.9,2.3400000000037835,1.0,2.0,29
tsimane,c15,16,5954.29,5955.82,1.5299999999997453,0.0,3.0,27
tsimane,C25,08,24742.31,24743.11,0.7999999999992724,1.0,2.0,29
english,15,16,32792.08,32793.14,1.0599999999976717,3.0,0.0,33
english,04,08,44119.11,44119.77,0.6599999999962165,3.0,0.0,33
tsimane,c15,16,6389.36,6390.49,1.1300000000001091,3.0,0.0,33
english,04,08,19260.56,19261.16,0.5999999999985448,0.0,3.0,27
tsimane,c22,15,53308.35,53312.23,3.8800000000046566,1.0,2.0,29
tsimane,c22,15,49065.42,49066.08,0.6600000000034925,2.0,1.0,31
tsimane,C25,08,9510.13,9510.74,0.6100000000005821,1.0,2.0,29
english,04,08,25449.39,25451.19,1.7999999999992724,3.0,0.0,33
english,23,15,10105.99,10106.59,0.6000000000003638,0.0,3.0,27
english,04,08,44080.75,44084.8,4.05000000000291,3.0,0.0,33
tsimane,c22,15,44395.82,44396.43,0.6100000000005821,3.0,0.0,33
tsimane,c15,16,24783.44,24784.25,0.8100000000013097,3.0,0.0,33
tsimane,C25,08,49474.75,49475.78,1.0299999999988358,3.0,0.0,33
tsimane,c15,16,33851.62,33852.24,0.6199999999953434,0.0,3.0,27
tsimane,c22,15,51294.76,51295.36,0.5999999999985448,2.0,1.0,31
tsimane,C25,08,23612.35,23613.71,1.360000000000582,1.0,2.0,29
tsimane,c15,16,1288.97,1289.57,0.599999999999909,1.0,2.0,29
english,04,08,18313.98,18315.23,1.25,3.0,0.0,33
english,23,15,18047.79,18049.37,1.5799999999981083,3.0,0.0,33
tsimane,c15,16,20396.01,20397.02,1.0100000000020373,3.0,0.0,33
english,15,16,8869.64,8870.64,1.0,2.0,1.0,31
tsimane,c15,16,21782.53,21783.99,1.4600000000027649,1.0,2.0,29
tsimane,c15,16,14263.32,14263.92,0.6000000000003638,0.0,3.0,27
english,23,15,56220.44,56221.66,1.2200000000011642,3.0,0.0,33
tsimane,c22,15,51918.77,51919.38,0.6100000000005821,0.0,3.0,27
english,04,08,41100.13,41101.19,1.0600000000049477,2.0,1.0,31
english,23,15,24088.05,24089.06,1.0100000000020373,2.0,1.0,31
english,23,15,56429.48,56434.67,5.189999999995052,3.0,0.0,33
tsimane,c15,16,4209.84,4210.44,0.5999999999994543,2.0,1.0,31
tsimane,c15,16,9063.55,9064.28,0.7300000000013824,3.0,0.0,33
english,23,15,33941.16,33942.35,1.1899999999950523,3.0,0.0,33
english,15,16,3159.33,3159.93,0.599999999999909,3.0,0.0,33
tsimane,c22,15,665.48,666.08,0.6000000000000227,2.0,1.0,31
tsimane,c22,15,50969.85,50970.45,0.5999999999985448,2.0,1.0,31
english,23,15,39353.47,39354.07,0.5999999999985448,1.0,2.0,29
english,04,08,11839.45,11840.05,0.5999999999985448,2.0,1.0,31
tsimane,c22,15,51874.58,51875.18,0.5999999999985448,1.0,2.0,29
tsimane,C25,08,3533.52,3534.89,1.3699999999998909,3.0,0.0,33
english,15,16,34532.61,34533.5,0.8899999999994179,3.0,0.0,33
tsimane,C25,08,22907.52,22908.12,0.5999999999985448,2.0,1.0,31
english,04,08,35185.64,35186.24,0.5999999999985448,1.0,2.0,29
english,23,15,14077.24,14079.24,2.0,2.0,1.0,31
tsimane,c15,16,3284.14,3284.75,0.6100000000001273,0.0,3.0,27
english,15,16,4752.49,4754.18,1.6900000000005093,3.0,0.0,33
tsimane,C25,08,20700.42,20701.44,1.0200000000004366,2.0,1.0,31
tsimane,c15,16,34058.32,34058.92,0.5999999999985448,0.0,3.0,27
english,23,15,38667.84,38669.3,1.4600000000064028,3.0,0.0,33
english,23,15,46619.04,46619.82,0.7799999999988358,3.0,0.0,33
english,04,08,18604.34,18604.94,0.5999999999985448,1.0,2.0,29
tsimane,c22,15,49320.24,49321.23,0.9900000000052387,1.0,2.0,29
english,15,16,37529.05,37529.65,0.5999999999985448,0.0,3.0,27
english,04,08,18236.72,18237.32,0.5999999999985448,2.0,1.0,31
tsimane,c15,16,19875.45,19876.05,0.5999999999985448,2.0,1.0,31
tsimane,C25,08,21259.19,21259.79,0.6000000000021828,3.0,0.0,33
english,15,16,43927.86,43928.79,0.930000000000291,3.0,0.0,33
english,23,15,56408.08,56408.77,0.6899999999950523,3.0,0.0,33
tsimane,C25,08,23723.55,23724.39,0.8400000000001455,3.0,0.0,33
english,04,08,27117.87,27118.63,0.7600000000020373,3.0,0.0,33
tsimane,C25,08,16598.68,16600.83,2.150000000001455,3.0,0.0,33
tsimane,C25,08,40093.88,40094.81,0.930000000000291,0.0,3.0,27
english,23,15,19944.41,19945.31,0.9000000000014552,0.0,3.0,27
tsimane,C25,08,24405.84,24407.91,2.069999999999709,2.0,1.0,31
tsimane,C25,08,511.62,512.61,0.9900000000000091,1.0,2.0,29
english,15,16,32178.67,32179.41,0.7400000000016007,3.0,0.0,33
english,23,15,18568.66,18569.77,1.110000000000582,3.0,0.0,33
tsimane,c22,15,8242.64,8243.44,0.8000000000010914,2.0,1.0,31
english,23,15,26158.68,26159.7,1.0200000000004366,1.0,2.0,29
tsimane,c22,15,50015.49,50016.09,0.5999999999985448,2.0,1.0,31
english,15,16,42611.4,42612.0,0.5999999999985448,3.0,0.0,33
tsimane,c15,16,6401.08,6402.01,0.930000000000291,3.0,0.0,33
english,04,08,12334.62,12336.98,2.359999999998763,2.0,1.0,31
english,04,08,17185.09,17185.69,0.5999999999985448,0.0,3.0,27
tsimane,c22,15,51264.12,51264.86,0.7399999999979627,3.0,0.0,33
english,23,15,1445.87,1447.18,1.3100000000001728,3.0,0.0,33
tsimane,c15,16,14776.28,14778.03,1.75,3.0,0.0,33
english,04,08,13909.21,13910.89,1.680000000000291,3.0,0.0,33
english,04,08,46675.67,46676.84,1.1699999999982538,1.0,2.0,29
english,04,08,35834.43,35835.03,0.5999999999985448,0.0,3.0,27
english,04,08,39608.89,39610.19,1.3000000000029104,3.0,0.0,33
english,04,08,48047.37,48047.97,0.5999999999985448,3.0,0.0,33
tsimane,c15,16,3773.47,3776.25,2.7800000000002,2.0,1.0,31
english,23,15,10523.73,10524.33,0.6000000000003638,3.0,0.0,33
tsimane,c15,16,19585.97,19586.57,0.5999999999985448,1.0,2.0,29
english,04,08,28337.32,28338.97,1.6500000000014552,1.0,2.0,29
tsimane,c15,16,26315.87,26316.71,0.8400000000001455,1.0,2.0,29
tsimane,c22,15,55337.17,55337.77,0.5999999999985448,2.0,1.0,31
english,15,16,41415.7,41416.51,0.8100000000049477,2.0,1.0,31
english,04,08,19489.03,19489.67,0.6399999999994179,0.0,3.0,27
tsimane,c15,16,34228.52,34230.65,2.1300000000046566,1.0,2.0,29
english,23,15,40849.42,40850.04,0.6200000000026193,3.0,0.0,33
tsimane,c15,16,5708.95,5709.66,0.7100000000000364,0.0,3.0,27
english,04,08,19339.88,19340.49,0.6100000000005821,1.0,2.0,29
english,23,15,16125.1,16127.27,2.1700000000000728,2.0,1.0,31
english,15,16,1123.68,1124.37,0.6899999999998272,3.0,0.0,33
tsimane,c15,16,33524.57,33527.5,2.930000000000291,2.0,1.0,31
tsimane,c22,15,51105.88,51106.48,0.6000000000058208,2.0,1.0,31
tsimane,c15,16,24786.8,24787.4,0.6000000000021828,3.0,0.0,33
tsimane,c22,15,49144.12,49145.34,1.2199999999938882,1.0,2.0,29
english,04,08,13709.63,13710.69,1.0600000000013097,3.0,0.0,33
tsimane,c15,16,22236.48,22237.2,0.7200000000011642,1.0,2.0,29
tsimane,C25,08,44340.01,44342.38,2.3699999999953434,3.0,0.0,33
tsimane,c15,16,26780.36,26781.24,0.8800000000010186,3.0,0.0,33
tsimane,c22,15,47391.91,47393.02,1.1099999999933061,1.0,2.0,29
tsimane,C25,08,1015.51,1018.37,2.8600000000000136,0.0,3.0,27
